ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
186,Xerjoff,Luxor,Orientalisch,Holzig / Oud / Tabak,"Kopf: Ceylon‑Zimt, Kardamom, Leder
Herz: Tabak, Weihrauch, Myrrhe, Atlas‑Zeder
Basis: Thai‑Oud, Kambodschaner Oud, Indischer Cypriol, Indonesischer Patchouli","würzig, harzig, oud‑lastig, ledrig","opulent, orientalisch, royaler Flair",Schatzkammer eines Pharaos mit Weihrauch und kostbaren Hölzern,"Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,"Teil der Oud Stars‑Kollektion, intensiver Doppel‑Oud‑Mix mit Gewürzen",Xerjoff,Luxor,0.60,"zitrisch(?) saures/bissiges opening, ein wenig multivitamin-pisse, wird mit der zeit besser, es kommt zimt dazu",tryasample,nicht bei Lubner gefunden,
187,Nasomatto,Sadonaso,Orientalisch,Animalisch / Holzig,"Kopf: Kaffee
Herz: Moschus, Sandelholz, Tabak
Basis: Vanille, Amber, Tonkabohne, animalische Noten","süß, animalisch, holzig, gourmand","erotisch, dunkel, berauschend","geheimnisvolle Lounge mit Kaffee, Tabak und Vanille","Abend, Statement","Herbst, Winter",10 h+,sehr stark,"Extrait de Parfum mit intensiven Kaffee‑, Tabak‑ und Vanillenoten",Nasomatto,Sadonaso,,,"Parfums Lubner, Alsterhaus",wichtig,
188,Yves Saint Laurent,Rive Gauche pour Homme (2003),Fougère,Aromatisch / Würzig,"Kopf: Sternanis, Rosmarin, Bergamotte
Herz: Lavendel, Nelke, Geranie
Basis: Gaiac‑Holz, Patchouli, Vetiver","würzig, aromatisch, holzig, frisch","klassisch, elegant, maskulin",gepflegter Gentleman im Pariser Café,"Büro, Alltag, Abend","Frühling, Herbst, Winter",6–8 h,moderat,Tom‑Ford‑Ära‑Fougère mit Anis‑Lavendel und würziger Basis,Yves Saint Laurent,Rive Gauche pour Homme (2003),,,"Alsterhaus, tryasample",,
189,Lorenzo Villoresi,Incensi,Orientalisch,Harzig / Weihrauch,"Kopf: Galbanum, grüne Noten, Bergamotte, Elemi, Zitrone, Apfel
Herz: Pfeffer, Zimt, Ingwer, Labdanum, Mimose
Basis: Weihrauch, Myrrhe, Opoponax, Sandelholz, Styrax, Benzoe, Tolubalsam","harzig, grün, würzig, zitrisch","meditativ, trocken, klassisch",historische Kapelle mit Weihrauchschwaden und Zitrusgarten,"Meditation, Abend, ruhige Momente","Herbst, Winter, Frühling",6–8 h,moderat,italienischer Weihrauchduft mit frischer Zitrus‑Grün‑Eröffnung,Lorenzo Villoresi,Incensi,,,Marc Gebauer,,
190,Tauer Perfumes,L’Air du Désert Marocain,Orientalisch,Harzig / Würzig,"Kopf: Kreuzkümmel, Koriander, Petitgrain
Herz: Zistrose, Jasmin
Basis: Ambergris, Zedernholz, Vetiver","trocken, würzig, harzig, warm","sinnlich, hypnotisch, desertisch","marokkanischer Wüstenwind, Gewürzmarkt bei Sonnenuntergang","Abend, besondere Anlässe","Herbst, Winter, Frühling",10 h,stark,kultiger Duft mit trockener Wüstenatmosphäre und langem Nachhall,Tauer Perfumes,L’Air du Désert Marocain,,,tryasample,,
191,Guerlain,Bois d’Arménie,Orientalisch,Harzig / Holzig / Weihrauch,"Kopf: Rosenpfeffer, Rauchige Noten
Herz: Weihrauch, Myrrhe, Labdanum
Basis: Vanille, Benzoin, Zeder","rauchig, balsamisch, süß","warm, mystisch, behaglich","armenisches Papier, das in der Luft verbrennt – Harz und Vanille vereinen sich","Abend, festliche Anlässe","Herbst, Winter",7–8 h,moderat,hommagé an armenischen Räucherpapier; verbindet Harze mit weicher Vanille,Guerlain,Bois d’Arménie,,,EOL,,
192,Diptyque,Eau Lente,Orientalisch,Harzig / Würzig,"Kopf: Rote Mandarine
Herz: Zimt, Opoponax
Basis: Zedernholz","würzig, harzig, warm, orientalisch","vintage, würzig, opulent",antike Gewürztruhe mit opulenter Opoponax‑Süße und Zedernholz,"Abend, Retro‑Anlässe","Herbst, Winter",7–8 h,moderat,klassischer Diptyque‑Duft aus den 1980er Jahren mit Zimt‑Opoponax‑Herz,Diptyque,Eau Lente,,,"Alsterhaus, Parfums Lubner",,
193,Xerjoff,Golden Dallah,Orientalisch,Gourmand / Oud,"Kopf: exotische Gewürze
Herz: Kaffee‑Absolue, Weihrauch, Rosen‑Absolue, Amber, Kambodschanischer Oud
Basis: Kakao, Tonkabohne","würzig, gourmand, rauchig, amber, oud","luxuriös, süß, opulent","orientalisches Kaffeehaus voller Gewürze, Oud, Schokolade","Abend, Statement","Herbst, Winter",8–10 h,stark,"Teil der „Coffee Break“-Serie; vereint Kaffee, Oud und Kakao",Xerjoff,Golden Dallah,0.60,"Würzig, leicht süß, fruchtig(?), irgendwann Weihrauch, ganz leicht Kaffee, leicht seifig, interessant, aber nicht ueberragend, dry-down ist schoener tabak mit kaffee",Parfums Lubner,,
194,Xerjoff,Starlight,Orientalisch,Gourmand / Würzig,"Kopf: Kardamom, Bergamotte
Herz: Zimt, Mandel, Nelke
Basis: Amber, Zeder","warm würzig, süß, gourmand","einladend, cosy, festlich","Weihnachtsmarkt mit gebrannten Mandeln, Zimt und Glühwein","Abend, festliche Anlässe","Herbst, Winter",6–8 h,moderat bis stark,Teil der „Shooting Stars“-Kollektion; harmonischer Mandel‑Zimt‑Mix,Xerjoff,Starlight,,,Parfums Lubner,,
195,Armani Privé,Cuir Nu,Ledrig,Floral / Moschus,"Lineare Noten: Kaffee, Italienisches Leder, Rose","ledrig, orientalisch, würzig, gourmand","dunkel, elegant, sinnlich",Lederatelier mit frisch geröstetem Espresso und Rosenblättern,"Abend, gehobene Anlässe","Herbst, Winter",7–8 h,moderat,neue Kreation der „Les Mille et Une Nuits“-Kollektion; kombiniert Kaffee und geschmeidiges Leder,Armani Privé,Cuir Nu,,,Alsterhaus,,
196,Giorgio Armani,Armani Attitude,Fougère,Amber / Aromatisch,"Kopf: Kaffeebohne, Zitrone
Herz: Kardamom, Lavendel
Basis: Zeder, Amber, Opoponax, Patchouli","kaffeelastig, würzig, zitrisch, holzig","elegant, maskulin, wärmend",Espresso in einem italienischen Café mit frischer Zitrone und Holz,"Büro, Abend","Herbst, Winter",6–7 h,moderat,seltene Kaffee‑Note in einem Designerduft,Giorgio Armani,Armani Attitude,,,Alsterhaus,,
197,Yves Saint Laurent,Cuir (2023),Ledrig,Oud / Tabak / Würzig,"Kopf: Veilchenblatt‑Absolue, Kardamom, Mandarine
Herz: Wildleder, Oud Assafi™, Nelke
Basis: Bourbon‑Vanille, Zedernholz, Patchouli, Sandelholz","ledrig, holzig, würzig, süß, animalisch","rebellisch, luxuriös, modern",Lederjacke am Lagerfeuer mit orientalischem Oud,"Abend, Statement","Herbst, Winter",8–10 h,stark,"Teil der „Le Vestiaire des Parfums“-Kollektion, Oud‑Assafi‑Akkord",Yves Saint Laurent,Cuir (2023),,,Alsterhaus,,
198,Fragrance Du Bois,Lucius,Orientalisch,Oud / Tabak / Vanille,"Kopf: Rosa Pfeffer, Bergamotte, Mandarine
Herz: Zedernholz, Orangenblüte
Basis: Amber, Tonkabohne, Vetiver","hell, pfeffrig, holzig, warm","kraftvoll, raffiniert, modern",Held in goldener Rüstung – Zitrusfrische und würzige Holzwärme,"Business, elegante Abende","Frühling, Herbst",7–8 h,moderat,mutiger Mix aus rosa Pfeffer und trockener Amber; Aura von Stärke,Fragrance Du Bois,Lucius,0.40,"suess orientalisch, sehr leicht zitrisch, elegant, interessant, wird aber zitrisch seifig",Parfums Lubner,,
199,Fragrance Du Bois,Lovers,Orientalisch,Floral / Oud / Vanille,"Kopf: Passionsfrucht, Ingwer, Pflaume, Bergamotte
Herz: Rose, Safran, Jasmin
Basis: Vetiver, Zeder, Sandelholz, Patchouli, Cashmereholz","exotisch, fruchtig, warm, würzig","sinnlich, luxuriös, opulent",tropischer Abend mit exotischen Früchten und orientalischen Gewürzen,"Abend, Date, besondere Anlässe","Herbst, Winter",8–10 h,stark,seltene Passion-Frucht-Note kombiniert mit Safran und edlen Hölzern,Fragrance Du Bois,Lovers,0.10,"rosig, kopfschmerzig, leicht loesungsmittel, wird rosiger",Parfums Lubner,,
200,Mind Games,Opera Mate,Gourmand,Harzig / Vanille,"Kopf: Geröstete Kastanie, Grapefruitschale, Labdanum
Herz: Crème brûlée, Davana, Vetiver
Basis: Karamell, Sandelholz, Wildleder","süß, nussig, gourmand, holzig","opulent, theatralisch, warm","Barockes Opernfoyer mit Kastanien und Crème brûlée, samtiger Vorhang","Abend, Festessen, Winter","Herbst, Winter",8 h+,stark,Schach‑inspirierter Duft mit Kastanien- und Crème‑brûlée‑Akkord,Mind Games,Opera Mate,0.50,"kastanienkaramell, etwas kopfschmerzig aber",Parfums Lubner,,
201,Mancera,Red Tobacco,Orientalisch,Holzig / Tabak / Würzig,"Kopf: Zimt, Grüner Apfel, Nepal‑Oud, Safran, Weihrauch, Muskat, Weißer Pfirsich
Herz: Patchouli, Jasmin
Basis: Tabak, Vanille, Hölzer, Amber, Gaiac‑Holz, Vetiver, Weißer Moschus","warm würzig, süß, rauchig, oud, fruchtig","kraftvoll, sinnlich, reichhaltig","Loungesessel mit Wasserpfeife, Gewürzen und süßen Früchten","Abend, besondere Anlässe","Herbst, Winter",10 h+,sehr stark,extrem langanhaltender Tabak‑Oud‑Frucht‑Duft mit intensivem Sillage,Mancera,Red Tobacco,0.5,Künstlich apfelig Kopfschmerzen,Parfums Lubner,,
202,Mancera,Fig Extasy,Floral,Fruchtig / Grün,"Kopf: Feige, Schwarzer Pfeffer, Ingwer, Indischer Weihrauch
Herz: Feigenblatt, Leder, Zedernholz, Mysore‑Sandelholz, Lavendel, Thymian
Basis: Styrax, Tonkabohne, Siam‑Benzoe, Vanille","fruchtig, holzig, würzig, grün, süß","mediterran, sanft, gourmand",Feigenhain bei Sonnenuntergang – süße Fruchtfleisch‑Akkorde treffen auf würziges Holz,"Alltag, Freizeit, Date","Frühling, Sommer, Herbst",6–8 h,moderat,seltene Kombination aus reifer Feige und Leder‑Vanille‑Basis,Mancera,Fig Extasy,0.60,"Frisch aber etwas Lakritze , sehr dezent",Parfums Lubner,,
203,BDK Parfums,Gris Charnel,Orientalisch,Gourmand / Würzig,"Kopf: Kardamom, Feige, Schwarzer Tee
Herz: Iris, Bourbon‑Vetiver
Basis: Sandelholz, Tonkabohne","würzig, cremig, teeartig, holzig","elegant, intim, modern","ein stiller Nachmittag im Lesesaal: Feigengebäck, schwarzer Tee und warmes Holz","Abend, Date, Büro","Herbst, Winter",7–8 h,moderat,"einzigartige Kombination aus Feige, Schwarztee und Iris",BDK Parfums,Gris Charnel,0.70,"Schön feigig und langanhaltend, aber irgendwann nervig","Alsterhaus, Parfums Lubner",,
204,By Kilian,Apple Brandy (on the Rocks),Orientalisch,Fruchtig / Holzig / Spirituosen,"Kopf: Kardamom, Bergamotte
Herz: Apfel, Rum, Brandy, Ananas, Vanille, Moos
Basis: Zedernholz, Ambroxan","fruchtig‑süß, boozy, würzig, holzig","lebhaft, modern, gourmand",Apfelcocktail auf Eis mit Rum und Vanille in einer eleganten Bar,"Freizeit, Abend, Partys","Frühling, Sommer, Herbst",6–8 h,moderat,"Variante des Originals „Apple Brandy“, hier mit kühlerer, fruchtig‑frischer Note",By Kilian,Apple Brandy (on the Rocks),,,"Alsterhaus, Douglas Mönckebergstraße",,
205,By Kilian,Angels’ Share,Orientalisch,Gourmand / Spirituosen / Würzig,"Kopf: Cognac‑Öl
Herz: Zimt, Tonkabohne, Eichenholz
Basis: Praliné, Vanille, Sandelholz","süß‑würzig, boozy, warm, holzig","opulent, einhüllend, gourmand",Cognac im Eichenfass mit karamellisierter Praline und Zimt,"Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,inspiriert vom „Angels’ Share“ in der Cognac‑Herstellung; cremig‑boozy Dessertduft,By Kilian,Angels’ Share,,,Alsterhaus,,
206,Parfums de Marly,Oajan,Orientalisch,Gourmand / Würzig,"Kopf: Zimt, Honig, Osmanthus
Herz: Amber, Benzoe, Labdanum
Basis: Tonkabohne, Vanille, Davana, Patchouli","süß, warm, würzig, balsamisch","reichhaltig, gemütlich, gourmand","Apfelkuchen und Honigkuchen bei Kerzenschein, gewürzt mit Zimt","Abend, Winter, gemütliche Abende","Herbst, Winter",8–10 h,stark,kultiger Gourmand‑Amber mit üppigem Zimt‑Honig‑Herz,Parfums de Marly,Oajan,,,"Alsterhaus, Parfums Lubner",,
207,Xerjoff,XJ 1861 Decas,Orientalisch,Harzig / Würzig,"Kopf: Kalabrische Mandarine, Tuberose, Tabak
Herz: Benzoe, Opoponax, Toskanische Iris
Basis: Bourbon‑Vanille, Moschus, Tolu‑Balsam","süß, balsamisch, fruchtig, cremig","opulent, warm, einladend","italienischer Palazzo im Kerzenschein – Mandarinenlikör, Iris und Vanille","Abend, Feier","Herbst, Winter",7–8 h,moderat,zum 10‑jährigen Jubiläum der „1861“-Kollektion entworfen; Tabak‑Mandarine‑Vanille,Xerjoff,XJ 1861 Decas,,,Parfums Lubner,,
208,D.S. & Durga,Bowmakers,Holzig,Aromatisch / Harzig,"Kopf: Violinenlack, Mahagoni, Luft‑Akkord
Herz: Kolophonium, Zypresse, Ahornholz
Basis: Baumharz, Zedernholz, Moos","harzig, holzig, würzig, rauchig, grün","nostalgisch, rustikal, künstlerisch",alte Geigenwerkstatt in den Wäldern Neuenglands mit Harz und lackiertem Holz,"Abend, Herbstspaziergänge, kreative Momente","Herbst, Winter",7–8 h,moderat,"einzigartiges Konzept, das den Duft lackierter Instrumente einfängt",D.S. & Durga,Bowmakers,,,Parfums Lubner,,
209,Francesca Bianchi,Byzantine Amber,Orientalisch,Balsamisch / Harzig / Würzig,"Kopf: Zimt, Bergamotte
Herz: Geranie
Basis: Styrax, Benzoe, Labdanum, Ambergris, Leder, Weihrauch","warm, rauchig, animalisch, ledrig, balsamisch","dunkel, dekadent, mystisch",byzantinischer Palast mit brennendem Weihrauch und goldenem Mosaik,"Abend, Statement, besondere Anlässe","Herbst, Winter",10 h+,moderat,"intensiver Leder‑Amber‑Duft mit balsamischen Harzen, Teil der „Essentials“‑Kollektion",Francesca Bianchi,Byzantine Amber,0.35,"leder im hintergrund, krautig/aethaerisch im vordergund","tryasample, 50ml",,
210,Penhaligon’s,Halfeti,Chypre,Floral / Orientalisch / Würzig,"Kopf: Grapefruit, Bergamotte, Artemisia, Safran, Zypresse
Herz: Türkische Rose, Jasmin, Muskatnuss
Basis: Leder, Oud, Patchouli, Sandelholz, Zedernholz, Amber, Moschus, Vanille","würzig, holzig, floral, orientalisch","opulent, warm, exotisch","Gewürzbasar am Ufer des Euphrats, dunkle Rosen und Oud","Abend, besondere Anlässe","Herbst, Winter",8 h+,stark,"Mittelöstlich inspirierter Mix aus türkischer Rose, Gewürzen und Oud",Penhaligon’s,Halfeti,,,"Alsterhaus, Parfums Lubner",,
211,Serge Lutens,L’Orpheline,Orientalisch,Harzig / Rauchig / Weihrauch,"Kopf: Schwarzer Pfeffer, Aldehyde
Herz: Weihrauch, Trockenhölzer, Patchouli
Basis: Kaschmirholz, Moschus, Amber","rauchig, trocken, pudrig, musky","ätherisch, introspektiv, melancholisch",einsamer Spaziergang durch eine verlassene Klosterruine im Morgennebel,"Abend, Meditation, ruhige Momente","Herbst, Winter",6–8 h,moderat,"abstrakter Weihrauchduft, der Dunkelheit mit pudriger Sanftheit vereint",Serge Lutens,L’Orpheline,0.40,"Trocken, bissig, ätherisch ölig",Alsterhaus,,
212,Matière Première,Encens Suave,Orientalisch,Gourmand / Harzig / Weihrauch,"Lineare Noten: Somali‑Weihrauchharz, Siam‑Benzoe‑Absolue, Bourbon‑Vanille‑Absolue, Spanisches Labdanum‑Absolue, Venezuelanischer Kaffee","harzig, süß, rauchig, warm, gourmand","reich, opulent, balsamisch","eine gemütliche Höhle mit brennendem Weihrauch, Kaffee und Vanille","Abend, Meditation","Herbst, Winter",8–10 h,stark,opulenter Weihrauchduft mit cremigem Kaffee‑Vanille‑Herz,Matière Première,Encens Suave,0.80,"Frischer Weihrauch, süßlich, schöner leichter Weihrauch, wird leicht süß ","Alsterhaus, Parfums Lubner",,
213,Matière Première,Oud Seven,Orientalisch,Oud / Würzig,"Lineare Noten: Ägyptisches Veilchenblatt‑Absolue, Indonesischer Patchouli, Bangladesch‑Oud, Spanisches Labdanum‑Absolue, Amber, Balkanesischer Tabak‑Absolue, Haitischer Vetiver, Nagarmotha","holzig, animalisch, rauchig, würzig, erdig","kräftig, dunkel, luxuriös",düsteres Oud‑Holzlager mit Tabak und violetten Blättern,"Abend, Statement","Herbst, Winter",8–10 h,stark,exklusiv für Harrods kreierte Oud‑Komposition mit animalischem Charakter,Matière Première,Oud Seven,0.40,schmeckt nach oud: erst holzig bitter dann orangig/multivitamin-pisse (holzige orange),tryasample,"nicht im Alsterhaus gefunden, nicht bei Lubner gefunden",
214,Diptyque,Oud Palao (EDP),Orientalisch,Harzig / Oud / Tabak,"Lineare Noten: Laotischer Oud, Bulgarische Rose, Somalischer Weihrauch, Ceylon‑Sandelholz, Indonesischer Patchouli, Nagarmotha, Spanische Zistrose, Bourbon‑Vanille","holzig, rauchig, süß, balsamisch","mystisch, luxuriös, orientalisch","Oud‑Basar im nächtlichen Laos, Rosen und Vanille schweben im Rauch","Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,"Nischen‑Komposition aus echtem Oud, Rose und Vanille",Diptyque,Oud Palao (EDP),,,"Alsterhaus, Parfums Lubner",,
215,By Kilian,Straight To Heaven,Orientalisch,Holzig / Spirituosen,"Kopf: Rum, getrocknete Früchte
Herz: Patchouli, Zedernholz, Muskatnuss, Jasmin
Basis: Amber, Moschus, Vanille, süße Hölzer","boozy, holzig, würzig, süß","elegant, rauchig, verführerisch","ein Rumglas am Kamin, getrocknete Früchte und edle Hölzer","Abend, Date","Herbst, Winter",ca. 8 h,moderat,kombiniert dunklen Rum mit Patchouli und Vanille in einem luxuriösen Bouquet,By Kilian,Straight To Heaven,,,Alsterhaus,,
216,Serge Lutens,Arabie,Orientalisch,Fruchtig / Harzig / Würzig,"Kopf: Datteln, Feigen, getrocknete Früchte 
Basis: Zedernholz, kandierte Frucht, Gewürze, Harze",,"Reich, süß, würzig",Souk mit kandierten Delikatessen,"Abend, Nachmittag","Herbst, Winter",6–8 h,moderat,Honig-Frucht-Gewürzkomposition mit edlem Hölzersatz,Serge Lutens,Arabie,,,?,nicht im Alsterhaus gefunden,todo
217,Serge Lutens,Bois et Musc,Holzig,Aromatisch / Moschus,"Kopf: Zedernholz, Sandelholz
Herz: Würzige Hölzer, Iris
Basis: Moschus, Amber, Labdanum","holzig, weich, pudrig, moschus","introvertiert, samtig, warm","eine Holzbibliothek, in der Moschus und weicher Bernstein durch die Luft schweben","Abend, ruhige Momente","Herbst, Winter",6–8 h,moderat,Les Eaux Boisées-Komposition: hölzerner Duft mit samtigem Moschus,Serge Lutens,Bois et Musc,,,?,nicht im Alsterhaus gefunden,
218,Serge Lutens,Bois Oriental,Orientalisch,Holzig / Würzig,"Kopf: Zimt, Nelke, Kardamom
Herz: Sandelholz, Zedernholz, Rosenholz
Basis: Amber, Moschus, Benzoin","warm, würzig, balsamisch","reich, exotisch, opulent","orientalisches Palais: duftende Gewürze, edle Hölzer und süßer Amber","Abend, festliche Anlässe","Herbst, Winter",8 h+,stark,Teil der „Bois“-Serie; verbindet Gewürze mit cremigem Sandelholz,Serge Lutens,Bois Oriental,,,?,nicht im Alsterhaus gefunden,
219,Guerlain,Néroli Outrenoir,Chypre,Floral / Rauchig / Tee,"Kopf: Petitgrain, Bergamotte, Mandarine, Zitrone, Grapefruit
Herz: Neroli, Orangenblüte, Schwarzer Tee, Rauchige Erde
Basis: Vanille, Benzoin, Ambrette, Myrrhe, Moos","zitrisch, floral, rauchig, balsamisch","geheimnisvoll, warm, dunkle Zitrusnoten",Teatime im Gewächshaus – Neroli und Rauch vermischen sich mit süßer Vanille,"Abend, formelle Anlässe","Frühling, Herbst",6–8 h,moderat,"dunkle, rauchige Interpretation von Neroli mit Schwarztee",Guerlain,Néroli Outrenoir,0.60,Grün seifig,Alsterhaus,,
220,Xerjoff,Amber Star,Orientalisch,Balsamisch / Harzig / Vanille,"Kopf: Amber, Zedernholz, Ylang‑Ylang
Herz: Guajakholz, Gurjumbalsam, Myrrhe
Basis: Bourbon‑Vanille, Benzoe, Opoponax, Sandelholz","warm, süß, harzig, balsamisch","reich, sinnlich, umhüllend",goldener Sonnenuntergang mit süßer Amber‑Vanille‑Brise,"Abend, besondere Anlässe","Herbst, Winter",10 h+,sehr stark,Teil der „Mixing Experience“; cremige Amber‑Vanille mit Myrrhe,Xerjoff,Amber Star,,,Parfums Lubner,,
221,Xerjoff,Black Moonlight,Orientalisch,Harzig / Oud / Würzig,"Kopf: Safran, Bergamotte, Kardamom, Mandarine
Herz: Haselnuss, Lavendel, Myrrhe, Jasmin Sambac, Ylang‑Ylang
Basis: Tolubalsam, Tonkabohne, Benzoe, Labdanum, Patchouli, Vetiver","süß‑würzig, nussig, floral, balsamisch, rauchig","geheimnisvoll, exotisch, dekadent",sternenklare Nacht mit Gewürzmandeln und Weihrauchschwaden,"Abend, Statement","Herbst, Winter",8 h+,stark,Kooperation mit der Band Duran Duran; einzigartige Haselnuss‑Lavendel‑Herznote,Xerjoff,Black Moonlight,,,Parfums Lubner,,
222,Xerjoff,Cruz del Sur I,Orientalisch,Floral / Fruchtig / Holzig,"Kopf: Grapefruit, Bergamotte, Rum
Herz: Kümmel, Zedernholz, Getrocknete Früchte, Zimt
Basis: Castoreum, Myrrhe, Lederakkorde, Labdanum","rauchig, ledrig, boozy, würzig, animalisch","wild, abenteuerlich, rau","Piratenschiff mit Rum, Leder, getrockneten Früchten und Rauch","Abend, Statement","Herbst, Winter",8–10 h,stark,rum‑getränkter Leder‑Castoreum‑Duft aus der „Shooting Stars“-Kollektion,Xerjoff,Cruz del Sur I,,,Parfums Lubner,,
223,Tiziana Terenzi,Sienè,Orientalisch,Harzig / Holzig / Weihrauch,"Kopf: Olivenholz, Wacholder, Toskanische Zypresse, Pappel
Herz: Weihrauch, Myrrhe, Iris, Toskanisches Leder, Patchouli
Basis: Moschus, Akazienhonig, Ambergris, Kambodschanisches Oud, Sandelholz","holzig, rauchig, ledrig, süß-würzig","nobel, erdig, mystisch",toskanische Kapelle voller Weihrauch und Honig,"Abend, elegante Anlässe","Herbst, Winter",8 h+,stark,Olivenholz und Honig treffen auf Leder und Oud,Tiziana Terenzi,Sienè,,,"Parfums Lubner, Douglas Jungfernstieg, tryasample",wichtig,
224,Mugler,A*Men Stellar,Orientalisch,Gourmand / Holzig / Würzig,"Kopf: Bergamotte, Anis, Birnenlikör
Herz: Gerösteter Kaffee, Zimt, Gewürznelke
Basis: Patchouli, Vanille, Kakao, Tonkabohne","süß, würzig, rauchig, schokoladig","futuristisch, mutig, intensiv","galaktische Konditorei – Kaffee, Vanille und Kakao schweben im All","Abend, Party","Herbst, Winter",8–10 h,stark,limitierte Variation von A*Men mit anis-getränktem Kaffee und Kakao,Mugler,A*Men Stellar,,,?,,
225,Guerlain,Guerlain Homme (EdP),Zitrisch,Aromatisch / Holzig / Spirituosen,"Kopf: Pfefferminze, Limette, Rum
Herz: florale Noten
Basis: Vetiver, Zedernholz, Patchouli","minzig, frisch, zitrisch, holzig, alkoholisch","modern, belebend, elegant","Mojito‑Cocktail am Strand, sommerliche Brise","Alltag, Büro, Sommerabende","Frühling, Sommer",5–7 h,moderat,"Mojito‑inspiriert mit Minze und Rum, erfrischender Vetiver‑Twist",Guerlain,Guerlain Homme (EdP),0.70,"Frisch, grün",Galeria,,
226,Marie Jeanne,Brume d’été,Zitrisch,Aromatisch / Grün,"Lineare Noten: Französische Lavendel, Pfefferminze, Rosmarin, Italienische Mandarine, Paraguayan Petitgrain","frisch, kräutrig, zitrisch, aromatisch","klar, vital, luftig",mediterraner Sommermorgen – Kräutergarten und Mandarinenhain,"Alltag, Sommer",Sommer,4–6 h,leicht,als Brume (Duftnebel) für Haut und Haar; natürliche ätherische Öle,Marie Jeanne,Brume d’été,0.70,"Frisch, Rosmarin, ein bisschen blumig, gut! - grün Lavendel Thymian aber zu scharf",Alsterhaus,,
227,Maison Margiela,Soul of the Forest,Orientalisch,Erdige / Harzig / Holzig / Noten,"Kopf: Schwarze Johannisbeerknospe, Piment, Moos
Herz: Tannenbalsam, Cistus‑Concrete, Pflanzensaft
Basis: Atlas‑Zeder, Indonesischer Patchouli, Weihrauch","harzig, grün, rauchig, würzig","waldig, mystisch, erdig","Wanderung durch einen feuchten Wald mit Harz, Moos und Lagerfeuerduft","Alltag, Meditation, Naturausflüge","Herbst, Winter, Frühling",6–8 h,moderat,authentische Wald‑Komposition aus der „Replica“-Kollektion,Maison Margiela,Soul of the Forest,0.70,"gewöhnungsbedürftig, muffig, aber eigtl waldig interessant, sehr subtil",Douglas Jungfernstieg,,
228,Sisley,Le Parfum (Hair Rituel),Floral,Holzig / Zitrisch,"Kopf: Lavendel, Zitrone, Verbena
Herz: Mimose, Vegetale Noten
Basis: Amberholz","frisch, aromatisch, blumig, holzig","leicht, rein, erfrischend","sommerliche Brise durch die Haare, Duft von Lavendel und Mimose","Alltag, Haarparfum","Frühling, Sommer",4–6 h,moderat,kann auf Haut und Haar verwendet werden; luftiger Mimosa-Akkord,Sisley,Le Parfum (Hair Rituel),0.70,Leicht fruchtig grün,Galeria,,
229,27 87,Mosaïque,Zitrisch,Floral / Holzig,"Kopf: Mandarine, Pflaume, Muskatellersalbei
Herz: Tabak, Patchouli, Honig, Ylang‑Ylang
Basis: Leder, Eichenmoos, gerösteter Kakao, Maté","ledrig, süß, fruchtig, würzig, rauchig","opulent, modern, raffiniert","Pflaumenkompott, Honig, Tabak und Leder in einer Künstlerlounge","Abend, Statement","Herbst, Winter",8–9 h,moderat bis stark,gerösteter Kakao und Maté treffen auf Pflaume und Leder,27 87,Mosaïque,0.65,"Stark Leder, leicht frisch, wird frischer und süßer, wird mit der Zeit leicht weihrauchig, bunt","50ml, Parfums Lubner",,
230,Serge Lutens,Écrin de Fumée,Orientalisch,Harzig / Tabak / Würzig,"Noten: Tabak, Rum, Kakao","warm, gourmand, rauchig","opulent, verführerisch, boozy","dunkle Bar mit Zigarrenrauch, Rum und heißer Schokolade","Abend, besondere Anlässe","Herbst, Winter",8–9 h,stark,luxuriöses Tabak-Rum-Parfum mit süßem Kakao,Serge Lutens,Écrin de Fumée,0.60,Schokolade,Alsterhaus,,
231,Guerlain,Vetiver,Holzig,Vetiver / Würzig / Zitrisch,"Kopf: Bergamotte, Zitrone, Orange
Herz: Muskatnuss, Pfeffer
Basis: Vetiver, Tabak, Tonkabohne","grün, erdig, zitrisch, würzig","frisch, klassisch, elegant",sonniger Morgen mit feuchtem Gras und Zitrusfrüchten,"Alltag, Büro, Freizeit","Frühling, Sommer, Herbst",6–8 h,moderat,ikonischer Vetiverduft von 1959 mit Tabak‑Basis,Guerlain,Vetiver,0.60,"Stroh, Zitrus",Galeria,,
